timestamp; uid; question; answers; topics
"2021-09-23 12:33:40"; "b9f6b9c6-f8d2-4816-87a7-b9a2d1c8f8f3"; "How can I create a component in React?"; ["Use the `create-react-app` command" , "Manually set up the project using webpack and Babel"]; ['javascript', 'react', 'reactjs', 'frontend']
"2021-06-14 08:12:03"; "b9f6b9c6-f8d2-4816-87a7-b9a2d1c8f8f3"; "How to set up a Node.js server?"; ["Use the `express` library" , "Use the `fastify` library"]; ['javascript', 'node', 'nodejs','express', 'backend']
"2021-05-22 08:34:31"; "b9f6b9c6-f8d2-4816-87a7-b9a2d1c8f8f3"; "How to create an API with FastAPI?"; ["Use the `FastAPI` library" , "Use the `Flask` library"]; ['python', 'FastAPI', 'backend', 'Flask']
"2021-04-16 22:22:44"; "b9f6b9c6-f8d2-4816-87a7-b9a2d1c8f8f3"; "How to handle shared state in React?"; ["Use `Redux`" , "Use `Context API`"]; ['javascript', 'react', 'reactjs', 'frontend', 'redux']
"2021-03-11 18:21:02"; "b9f6b9c6-f8d2-4816-87a7-b9a2d1c8f8f3"; "How to deploy a Node.js application on a server?"; ["Use `Heroku`" , "Use `DigitalOcean`"]; ['javascript', 'node', 'nodejs','deploy', 'backend']
"2021-02-13 22:52:12"; "b9f6b9c6-f8d2-4816-87a7-b9a2d1c8f8f3"; "How to add authentication to an API with FastAPI?"; ["Use `JWT`,Use `OAuth2`"]; ['python', 'FastAPI', 'backend', 'authentication', 'JWT', 'OAuth2']
"2021-01-24 08:21:51"; "b9f6b9c6-f8d2-4816-87a7-b9a2d1c8f8f3"; "How to use external modules in Node.js?"; ["Use `npm`" , "Use `yarn`"]; ['javascript', 'node', 'nodejs','express', 'backend']
"2019-12-22 04:08:55"; "b9f6b9c6-f8d2-4816-87a7-b9a2d1c8f8f3"; "How to create a route in FastAPI?"; ["Use `@app.get()`" , "Use `@app.post()`"]; ['python', 'FastAPI', 'backend']
"2019-11-17 18:13:54"; "b9f6b9c6-f8d2-4816-87a7-b9a2d1c8f8f3"; "How to optimize the performance of a React application?"; ["Use `shouldComponentUpdate()`" , "Use `memo()`"]; ['javascript', 'react', 'reactjs', 'frontend']
"2019-10-26 16:30:13"; "b9f6b9c6-f8d2-4816-87a7-b9a2d1c8f8f3"; "How to create middleware in Node.js?"; ["Use `app.use()`" , "Use `router.use()`"]; ['javascript', 'node', 'nodejs','express', 'backend']
"2019-09-07 14:12:11"; "b9f6b9c6-f8d2-4816-87a7-b9a2d1c8f8f3"; "How to create a database with MongoDB and Node.js?"; ["Use `mongoose`" , "Use `mongodb`"]; ['javascript', 'node', 'nodejs','express', 'backend', 'mongodb', 'mongoose', 'noSQL']
"2019-08-10 01:07:37"; "b9f6b9c6-f8d2-4816-87a7-b9a2d1c8f8f3"; "How to create a form in React?"; ["Use `formik`" , "Use `redux-form`"]; ['javascript', 'react', 'reactjs', 'frontend']
"2019-07-18 05:22:17"; "b9f6b9c6-f8d2-4816-87a7-b9a2d1c8f8f3"; "How to create a console application with Node.js?"; ["Use `commander`" , "Use `yargs`"]; ['javascript', 'node', 'nodejs', 'backend']
"2019-06-23 15:51:22"; "b9f6b9c6-f8d2-4816-87a7-b9a2d1c8f8f3"; "How to create a detail page in FastAPI?"; ["Use `path operation`" , "Use `url parameter`"]; ['python', 'FastAPI', 'backend']
"2019-05-19 23:44:57"; "b9f6b9c6-f8d2-4816-87a7-b9a2d1c8f8f3"; "How to create a desktop application with Electron and Node.js?"; ["Use `electron`"]; ['javascript', 'node', 'nodejs','electron']